RESPID_AP20,LANGUAGE_AP20,INTERVIEW_START_AP20,INTERVIEW_END_AP20,ECON1MOD_AP20,ECON1BMOD_AP20,TYPOLOGYb_AP20,COVIDWORK_a_AP20,COVIDWORK_b_AP20,COMATTACH_AP20,VET1_AP20,VOL12_CPS_AP20,HLTHRATE_AP20,DISA_AP20,ROBWRK_AP20,RESPFUT_AP20,EMINUSE_AP20,INTMOB_AP20,INTFREQ_AP20,HOMEINTSERV_AP20,SMUSE_a_AP20,SMUSE_b_AP20,SMUSE_c_AP20,SMUSE_d_AP20,SMUSE_e_AP20,SMUSE_f_AP20,SMUSE_g_AP20,SMUSE_h_AP20,BOOKS_AP20,RADIO_AP20,DEVICE1a_AP20,SMART2_AP20,RELIG_AP20,BORN_AP20,ATTEND_AP20,RELIMP_AP20,PRAY_AP20,REG_AP20,INSURANCE_AP20,SEXASK_AP20,MARITAL_AP20,PARTY_AP20,PARTYLN_AP20,HISP_AP20,RACEMOD_1_AP20,RACEMOD_2_AP20,RACEMOD_3_AP20,RACEMOD_4_AP20,RACEMOD_5_AP20,RACEMOD_6_AP20,RACECMB_AP20,AGE_AP20,EDUC_ACS_AP20,NUMADULTS_AP20,NATIVITY_AP20,INCOME_AP20,REGION_NAME,MSA,MODE,BASEWEIGHT,WEIGHT
11.0,English,2020-06-04,2020-06-04 09:29:01,Good,Better,Most corporations make a fair and reasonable amount of profit,"Yes, has happened","Yes, has happened",Somewhat attached,"No, nobody in household",Yes,Very good,No,Probably happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this","Yes, use this","No, don’t use this",5.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",More than once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,53.0,"Bachelor’s degree (for example: BA, BS)",2.0,U.S.,"$100,000 to less than $150,000",South,Metropolitan Statistical Area,Online,2.1053642444871223,0.601206229207263
12.0,English,2020-06-04,2020-06-04 11:28:57,Poor,About the same,Business corporations make too much profit,"Yes, has happened","Yes, has happened",Not too attached,"Yes, someone else in household",No,Very good,No,Probably happen,The federal government,Yes,Yes,Several times a day,Dial up service using a landline telephone connection,"Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this",5.0,Yes,"Yes, have a cellphone","Yes, smartphone",Buddhist,,Never,Somewhat important,Never,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,73.0,Regular high school diploma,2.0,U.S.,"$30,000 to less than $40,000",South,Metropolitan Statistical Area,Online,2.1311079940977207,1.168365255368554
13.0,English,2020-06-04,2020-06-04 11:37:52,Good,Better,Most corporations make a fair and reasonable amount of profit,"Yes, has happened","No, has not happened",Very attached,"No, nobody in household",Yes,Excellent,No,Definitely happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this",20.0,Yes,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",Seldom,Somewhat important,A few times a month,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Divorced,Independent,The Republican Party,No,White,0.0,0.0,0.0,0.0,0.0,White,68.0,"Associate’s degree (for example: AA, AS)",1.0,U.S.,"$40,000 to less than $50,000",South,Metropolitan Statistical Area,Online,1.0655539970488603,0.3133666280451437
14.0,English,2020-06-04,2020-06-04 12:10:40,Excellent,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","Yes, has happened",Very attached,"No, nobody in household",Yes,Very good,No,Probably not happen,Schools,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","Yes, use this","Yes, use this",5.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"No, not born-again or evangelical Christian",Seldom,Not too important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,,"Some college credit, but less than 1 year of college credit",Refused,U.S.,"$100,000 to less than $150,000",Midwest,Metropolitan Statistical Area,Online,1.0655539970488603,0.36090290781561873
15.0,English,2020-06-04,2020-06-04 12:37:25,Poor,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",No,Very good,No,Definitely happen,The federal government,Yes,Yes,Almost constantly,Dial up service using a landline telephone connection,Refused,Refused,Refused,"Yes, use this",Refused,Refused,Refused,Refused,40.0,Yes,"Yes, have a cellphone","Yes, smartphone",Roman Catholic,"No, not born-again or evangelical Christian",A few times a year,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Never been married,Democrat,,Yes,White,0.0,0.0,0.0,0.0,0.0,White,20.0,"Associate’s degree (for example: AA, AS)",3.0,U.S.,"Less than $10,000",West,Metropolitan Statistical Area,Online,2.4399495024969826,1.0340789738697442
16.0,English,2020-06-04,2020-06-26 11:46:14,Good,Better,Most corporations make a fair and reasonable amount of profit,"Yes, has happened","Yes, has happened",Very attached,"No, nobody in household",Yes,Excellent,No,Probably happen,The federal government,Yes,Yes,Several times a day,Satellite service received through a satellite dish installed at home,"Yes, use this","Yes, use this",Refused,Refused,Refused,Refused,Refused,"Yes, use this",3.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",More than once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Democrat,,No,0.0,Black or African American,0.0,0.0,0.0,0.0,Black or African-American,48.0,"1 or more years of college credit, no degree",1.0,U.S.,"$10,000 to less than $20,000",South,Micropolitan Statistical Area,Online,0.9850835826058248,0.40919043043801784
17.0,English,2020-06-04,2020-06-04 12:53:18,Excellent,About the same,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",No,Very good,No,Definitely happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this",3.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once or twice a month,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,59.0,"Bachelor’s degree (for example: BA, BS)",4.0,U.S.,"$150,000 or more",South,Metropolitan Statistical Area,Online,3.196661991146581,0.7476263006797151
18.0,English,2020-06-04,2020-06-04 13:15:50,Poor,About the same,Business corporations make too much profit,"Yes, has happened","Yes, has happened",Not too attached,"No, nobody in household",No,Fair,No,Probably happen,The federal government,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this",1.0,No,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Divorced,Democrat,,Yes,0.0,0.0,0.0,American Indian or Alaska Native,0.0,0.0,Some other race,44.0,"Associate’s degree (for example: AA, AS)",2.0,U.S.,"$30,000 to less than $40,000",West,Metropolitan Statistical Area,Online,1.626633001664655,0.4008895702105745
19.0,English,2020-06-04,2020-06-04 13:39:21,Only fair,About the same,Business corporations make too much profit,Refused,Refused,Somewhat attached,"No, nobody in household",No,Good,No,Probably happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",25.0,No,"Yes, have a cellphone","Yes, smartphone",Mormon (Church of Jesus Christ of Latter-day Saints or LDS),"No, not born-again or evangelical Christian",Seldom,Not too important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Not covered by health insurance,Female,Widowed,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,59.0,"Associate’s degree (for example: AA, AS)",3.0,U.S.,"$20,000 to less than $30,000",South,Not in CBSA,Online,3.196661991146581,0.9214833032044083
20.0,English,2020-06-04,2020-06-04 14:12:16,Good,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Not too attached,"No, nobody in household",No,Fair,No,Definitely happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",2.0,No,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Seldom,Somewhat important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Independent,Refused,No,White,0.0,0.0,0.0,0.0,0.0,White,50.0,Regular high school diploma,2.0,U.S.,"$50,000 to less than $75,000",South,Not in CBSA,Online,1.9701671652116497,1.645289874203194
21.0,English,2020-06-04,2020-06-04 14:17:43,Only fair,Worse,Business corporations make too much profit,Refused,"Yes, has happened",Somewhat attached,"No, nobody in household",No,Good,Yes,Probably happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",6.0,Yes,"Yes, have a cellphone","Yes, smartphone",Nothing in particular,,Never,Not at all important,Never,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Something else,The Democratic Party,No,White,0.0,0.0,0.0,0.0,0.0,White,50.0,"1 or more years of college credit, no degree",2.0,U.S.,"$50,000 to less than $75,000",West,Metropolitan Statistical Area,Online,2.1311079940977207,1.1049666263809377
22.0,English,2020-06-04,2020-06-04 14:37:44,Good,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Very attached,"Yes, someone else in household",No,Very good,No,Probably happen,Individuals themselves,Yes,Yes,Several times a day,Refused,"Yes, use this","Yes, use this",Refused,Refused,Refused,"Yes, use this",Refused,"Yes, use this",Refused,No,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Refused,Female,Married,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,49.0,"Some college credit, but less than 1 year of college credit",Refused,U.S.,"$30,000 to less than $40,000",South,Metropolitan Statistical Area,Online,2.1311079940977207,0.7037852671919788
23.0,English,2020-06-04,2020-06-04 14:26:34,Good,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Very attached,"No, nobody in household",Yes,Excellent,No,Probably not happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this",6.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",More than once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Widowed,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,75.0,"1 or more years of college credit, no degree",1.0,U.S.,"$50,000 to less than $75,000",South,Metropolitan Statistical Area,Online,1.0655539970488603,0.3731400051569485
24.0,English,2020-06-04,2020-06-04 14:49:17,Good,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Not too attached,"No, nobody in household",No,Good,No,Probably happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",3.0,Yes,"Yes, have a cellphone","Yes, smartphone",Nothing in particular,,Seldom,Not too important,Seldom,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Republican,,No,White,0.0,0.0,0.0,0.0,0.0,White,63.0,"Associate’s degree (for example: AA, AS)",2.0,U.S.,"$150,000 or more",South,Metropolitan Statistical Area,Online,1.9701671652116497,0.6765419556543686
25.0,English,2020-06-04,2020-06-04 16:14:43,Only fair,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"Yes, self",Yes,Very good,No,Definitely happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this",20.0,Yes,"Yes, have a cellphone","No, not a smartphone",Protestant,"No, not born-again or evangelical Christian",Once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Divorced,Democrat,,No,White,0.0,0.0,0.0,0.0,0.0,White,76.0,"Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA)",1.0,U.S.,"$50,000 to less than $75,000",Northeast,Metropolitan Statistical Area,Online,1.0655539970488603,0.38230697680894987
26.0,English,2020-06-04,2020-06-04 16:21:05,Good,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",Yes,Very good,Yes,Probably not happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","No, don’t use this",9.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once a week,Very important,Once a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Divorced,Independent,The Republican Party,No,White,0.0,0.0,0.0,0.0,0.0,White,46.0,"Doctorate degree (for example: PhD, EdD)",1.0,U.S.,"$50,000 to less than $75,000",Midwest,Micropolitan Statistical Area,Online,1.0655539970488603,0.2514239880363119
27.0,English,2020-06-04,2020-06-04 17:00:18,Good,Better,Business corporations make too much profit,"No, has not happened","Yes, has happened",Very attached,"No, nobody in household",Yes,Good,No,Definitely happen,Individuals themselves,Yes,Yes,Almost constantly,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this","Yes, use this",6.0,Yes,"Yes, have a cellphone","Yes, smartphone",Nothing in particular,,A few times a year,Very important,Several times a day,"You are PROBABLY registered, but there is a chance your registration has lapsed",Covered by health insurance,Female,Living with a partner,Independent,Refused,Yes,White,Black or African American,0.0,0.0,0.0,Some other race or origin,Mixed Race,33.0,"Some college credit, but less than 1 year of college credit",2.0,Puerto Rico,"$20,000 to less than $30,000",South,Metropolitan Statistical Area,Online,2.1311079940977207,2.554060790119143
28.0,English,2020-06-04,2020-06-04 17:01:22,Only fair,Better,Business corporations make too much profit,"No, has not happened","No, has not happened",Somewhat attached,"No, nobody in household",Yes,Good,No,Probably not happen,The federal government,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","Yes, use this","Yes, use this","Yes, use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this",20.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"No, not born-again or evangelical Christian",Seldom,Not too important,A few times a month,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Female,Married,Independent,The Democratic Party,No,White,0.0,0.0,0.0,0.0,0.0,White,40.0,"Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA)",4.0,U.S.,"$100,000 to less than $150,000",South,Metropolitan Statistical Area,Online,3.196661991146581,0.8712062974204369
29.0,English,2020-06-04,2020-06-04 17:49:07,Only fair,Better,Most corporations make a fair and reasonable amount of profit,"No, has not happened","No, has not happened",Not too attached,"Yes, self",No,Very good,No,Definitely happen,Individuals themselves,Yes,Yes,Several times a day,"A high-speed internet service such as cable, DSL, or fiber optic service","No, don’t use this","Yes, use this","No, don’t use this","No, don’t use this","No, don’t use this","Yes, use this","Yes, use this","No, don’t use this",14.0,Yes,"Yes, have a cellphone","Yes, smartphone",Protestant,"Yes, born-again or evangelical Christian",Once a week,Very important,Several times a day,You are ABSOLUTELY CERTAIN that you are registered to vote at your current address,Covered by health insurance,Male,Married,Republican,,Yes,White,0.0,0.0,0.0,0.0,0.0,White,,"Master’s degree (for example: MA, MS, MEng, MEd, MSW, MBA)",2.0,U.S.,Refused,South,Metropolitan Statistical Area,Online,2.1311079940977207,0.4850472031916656
